benchmark,"('beespoke', 'BEE-spoke-data/smol_llama-101M-GQA')","('stabilityai', 'stabilityai/stablelm-2-1_6b')","('stabilityai', 'stabilityai/stablelm-3b-4e1t')","('beespoke', 'BEE-spoke-data/smol_llama-81M-tied')","('beespoke', 'BEE-spoke-data/verysmol_llama-v11-KIx2')","('cyberagent', 'cyberagent/open-calm-large')","('statespaces', 'state-spaces/mamba-130m-hf')","('itsliupeng', 'itsliupeng/openllama-7b-base')","('jackfram', 'JackFram/llama-160m')","('stabilityai', 'stabilityai/stablelm-base-alpha-3b')","('stabilityai', 'stabilityai/stablelm-base-alpha-7b')","('scb10x', 'scb10x/typhoon-7b')","('bigcode', 'bigcode/gpt_bigcode-santacoder')","('turkunlp', 'TurkuNLP/gpt3-finnish-small')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-126m')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-1.3b')","('statespaces', 'state-spaces/mamba-1.4b-hf')","('h2oai', 'h2oai/h2o-danube-1.8b-base')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-356m')","('budecosystem', 'budecosystem/boomer-1b')","('turkunlp', 'TurkuNLP/gpt3-finnish-large')","('statespaces', 'state-spaces/mamba-370m-hf')","('statespaces', 'state-spaces/mamba-790m-hf')","('aiswedenmodels', 'AI-Sweden-Models/gpt-sw3-6.7b-v2')","('bloom', 'bigscience/bloom-3b')","('sail', 'sail/Sailor-0.5B')","('dampish', 'Dampish/StellarX-4B-V0.2')","('sail', 'sail/Sailor-1.8B')","('falladrin', 'Felladrin/Minueza-32M-Base')","('gordicaleksa', 'gordicaleksa/YugoGPT')","('sail', 'sail/Sailor-7B')","('nytk', 'NYTK/PULI-GPTrio')","('vilm', 'vilm/Mixsmol-4x400M-v0.1-epoch2')","('starcoder', 'bigcode/starcoderbase-1b')","('cerebras', 'cerebras/Cerebras-GPT-111M')","('sail', 'sail/Sailor-4B')","('llm360', 'LLM360/Amber')","('tencentarc', 'TencentARC/LLaMA-Pro-8B')","('starcoder', 'bigcode/starcoderbase-3b')","('Wanfq', 'Wanfq/FuseLLM-7B')","('cerebras', 'cerebras/Cerebras-GPT-2.7B')","('pythia', 'EleutherAI/pythia-1.4b-deduped')","('starcoder', 'bigcode/starcoderbase-7b')","('pythia', 'EleutherAI/pythia-160m')","('cerebras', 'cerebras/Cerebras-GPT-6.7B')","('pythia', 'EleutherAI/pythia-1b-deduped')","('pythia', 'EleutherAI/pythia-1.4b-v0')","('pythia', 'EleutherAI/pythia-410m')","('pythia', 'EleutherAI/pythia-2.8b-deduped')","('pythia', 'EleutherAI/pythia-410m-deduped')","('pythia', 'EleutherAI/pythia-2.8b-v0')","('gpt-neo', 'EleutherAI/gpt-neo-125m')","('pythia', 'EleutherAI/pythia-6.9b-v0')","('gpt-neo', 'EleutherAI/gpt-neo-1.3B')","('falcon', 'tiiuae/falcon-rw-1b')","('qwen', 'Qwen/Qwen1.5-0.5B')","('qwen', 'Qwen/Qwen1.5-1.8B')","('phi', 'microsoft/phi-1_5')","('xglm', 'facebook/xglm-564M')","('mistral', 'mistralai/Mistral-7B-v0.1')","('qwen', 'Qwen/Qwen1.5-4B')","('xglm', 'facebook/xglm-4.5B')","('codellama', 'codellama/CodeLlama-7b-hf')","('mpt', 'mosaicml/mpt-7b-8k')","('open-llama', 'openlm-research/open_llama_3b')","('tencentarc', 'TencentARC/Mistral_Pro_8B_v0.1')","('llama', 'meta-llama/Llama-2-7b-hf')","('open-llama', 'openlm-research/open_llama_3b_v2')","('open-llama', 'openlm-research/open_llama_7b_v2')","('amber', 'LLM360/Amber')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-240k-503b')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-intermediate-step-480k-1T')","('tinyllama', 'TinyLlama/TinyLlama-1.1B-step-50K-105b')","('ahxt', 'ahxt/LiteLlama-460M-1T')","('opt', 'facebook/opt-2.7b')","('gpt-neo', 'EleutherAI/gpt-neo-2.7B')","('decilm', 'Deci/DeciLM-7B')","('bloom', 'bigscience/bloom-7b1')","('qwen', 'Qwen/Qwen1.5-7B')","('xglm', 'facebook/xglm-7.5B')","('falcon', 'tiiuae/falcon-7b')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step100000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step120000')","('pythia', 'EleutherAI/pythia-6.9b-deduped')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step40000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step140000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step20000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step60000')","('pythia', 'EleutherAI/pythia-6.9b-deduped_step80000')"
arc_easy,0.5673400673400674,0.3135521885521886,0.2777777777777778,0.5829124579124579,0.5976430976430976,0.6914983164983165,0.5197811447811448,0.2718855218855218,0.5669191919191919,0.5534511784511784,0.4970538720538721,0.2175925925925925,0.662037037037037,0.7234848484848485,0.5913299663299663,0.4381313131313131,0.3446969696969697,0.3261784511784511,0.5597643097643097,0.5597643097643097,0.6830808080808081,0.4499158249158249,0.3876262626262626,0.3716329966329966,0.4053030303030303,0.4633838383838383,0.4343434343434343,0.4015151515151515,0.6578282828282829,0.2365319865319864,0.2609427609427609,0.4027777777777778,0.5517676767676767,0.5963804713804715,0.6207912457912458,0.3135521885521886,0.2971380471380471,0.2504208754208754,0.537037037037037,0.2348484848484848,0.428030303030303,0.3825757575757575,0.4995791245791245,0.569023569023569,0.3556397306397306,0.4154040404040404,0.4238215488215489,0.4806397306397306,0.3648989898989899,0.4856902356902357,0.3720538720538721,0.563973063973064,0.3324915824915825,0.4377104377104377,0.3674242424242424,0.4238215488215489,0.3518518518518518,0.2373737373737373,0.5429292929292929,0.1914983164983165,0.3181818181818182,0.3977272727272727,0.3358585858585858,0.2394781144781145,0.3072390572390572,0.2091750841750841,0.2369528619528619,0.321969696969697,0.2773569023569023,0.2971380471380471,0.3960437710437711,0.4621212121212121,0.4191919191919192,0.492003367003367,0.5235690235690236,0.3922558922558923,0.3897306397306397,0.196969696969697,0.3497474747474747,0.292087542087542,0.3758417508417508,0.2537878787878788,0.3329124579124579,0.3244949494949495,0.3152356902356902,0.3754208754208754,0.3207070707070707,0.4368686868686868,0.3577441077441077,0.3442760942760943
piqa,0.4091403699673558,0.236670293797606,0.207290533188248,0.3944504896626768,0.4281828073993471,0.4390642002176278,0.3536452665941241,0.2094668117519043,0.3389553862894451,0.3623503808487486,0.3351468988030468,0.2040261153427638,0.4194776931447225,0.4532100108813928,0.4096844396082698,0.2965179542981502,0.2589771490750816,0.2437431991294886,0.3525571273122959,0.4129488574537541,0.4167573449401524,0.3057671381936888,0.280195865070729,0.2529923830250272,0.2937976060935799,0.3150163220892275,0.3025027203482046,0.2872687704026115,0.4466811751904244,0.2116430903155604,0.2252448313384113,0.2834602829162133,0.3569096844396082,0.4009793253536452,0.4069640914036997,0.2393906420021763,0.2181719260065288,0.221980413492927,0.3792165397170838,0.2149075081610446,0.2976060935799782,0.2785636561479869,0.3552774755168661,0.3830250272034821,0.2606093579978237,0.2997823721436343,0.2894450489662676,0.3318824809575625,0.2595212187159956,0.3286180631120783,0.2622415669205659,0.3699673558215451,0.2529923830250272,0.2889009793253536,0.2475516866158867,0.3046789989118607,0.2638737758433079,0.2344940152339499,0.3492927094668118,0.1947769314472253,0.2285092491838956,0.2720348204570185,0.2714907508161044,0.2138193688792165,0.249727965179543,0.2023939064200217,0.2192600652883569,0.2317736670293797,0.2121871599564744,0.2181719260065288,0.2665941240478781,0.2986942328618063,0.2927094668117519,0.3188248095756256,0.3193688792165396,0.2622415669205659,0.2785636561479869,0.1931447225244831,0.2725788900979325,0.2159956474428727,0.2606093579978237,0.2045701849836779,0.2546245919477693,0.2486398258977149,0.2410228509249183,0.2823721436343852,0.2519042437431991,0.2976060935799782,0.2638737758433079,0.25952121871599565
sciq,0.304,0.037,0.054,0.256,0.302,0.2219999999999999,0.2169999999999999,0.0649999999999999,0.277,0.29,0.1979999999999999,0.046,0.177,0.278,0.1959999999999999,0.0889999999999999,0.127,0.0839999999999999,0.152,0.2229999999999999,0.252,0.155,0.126,0.06,0.1119999999999999,0.164,0.145,0.122,0.4659999999999999,0.056,0.051,0.128,0.262,0.16,0.36,0.0629999999999999,0.0749999999999999,0.061,0.145,0.055,0.145,0.136,0.1169999999999999,0.257,0.1119999999999999,0.123,0.147,0.186,0.118,0.171,0.124,0.235,0.1009999999999999,0.139,0.0949999999999999,0.1119999999999999,0.0699999999999999,0.0669999999999999,0.2249999999999999,0.04,0.0679999999999999,0.1149999999999999,0.0779999999999999,0.053,0.0779999999999999,0.054,0.06,0.0729999999999999,0.061,0.0749999999999999,0.1109999999999999,0.129,0.138,0.1889999999999999,0.249,0.141,0.1079999999999999,0.035,0.0919999999999999,0.0779999999999999,0.122,0.056,0.0869999999999999,0.0919999999999999,0.0899999999999999,0.128,0.0839999999999999,0.18,0.1109999999999999,0.10399999999999998
lambada_openai,74.22531361197395,4.870200793443817,3.807315010802423,79.61673265109074,112.38669639589877,271.6289774725267,16.105168940591327,3.766483974792466,44.87880906494748,20.2758654587465,9.58758795121938,3.5149607905418474,162.61156288221613,1375.1887925131134,70.476381034857,11.385988078595062,5.020883443309519,5.225541797488462,24.91998867934572,131.15098428035702,100.5314026757332,8.13893432392718,6.0147992633314615,6.433253585618643,9.088378459423774,15.224525058931462,121.86365122814983,9.976286836942926,919.4721059396254,3.7399288744929695,4.493434222175398,6.760805591011652,45.94774042300985,41.82911035378356,187.53828128213408,5.816798344087885,4.269990974538465,3.4571164605023923,25.47509616135872,3.377901758918421,7.753527896743425,6.094237719509461,16.337789929356877,38.20142675538547,5.352743256402191,7.39681168475826,6.59169566814705,10.855481269476726,5.0048755957162525,10.550738674627889,4.926663196338117,30.41563812635644,4.296586240924086,7.52658001790615,7.388105127524079,12.332384415414872,7.255728187707214,8.917708338107971,28.73458665652609,3.1772782104846926,4.568485621363113,8.49040389539768,4.382500777102217,3.271416001242825,4.839333032225012,3.950478754300322,3.384788219112588,4.561514533928766,3.817236849192232,4.269990974538465,6.924742479233525,11.926766677763135,10.000848885198767,15.38062803136888,21.663464998048973,5.123948600517147,5.618630885582928,4.008074472084201,6.617025202534529,3.761428068358338,7.474472639546399,3.3515469040079022,4.225551400129373,4.108186122149687,4.147079706659446,5.796631099688867,4.159050852322012,7.86984525431189,5.051545584393333,4.689666041969957
lambada_standard,493.54617263587807,6.005163233308644,4.630270197824328,433.35257509598034,637.2426135173297,638.473151542341,33.5211937853423,4.389944889215926,170.29874595387517,40.44777872500313,18.04305138890023,4.202306464602752,290.46843893625805,2092.417960394016,132.6536912413577,12.073944039378905,7.446482779250983,7.259021112085907,29.52561688121322,423.45563849861793,324.59277820902025,12.848155861066315,8.428584071549542,5.754157959677624,10.666153946937282,25.17567698443436,101.5122878606449,17.050779962939842,3393.044950519208,4.267025360985074,6.454537881719921,12.160806899474393,253.44336883105905,86.6324629623993,618.7566783305705,8.82646144012862,5.584736572676683,4.307119390161349,56.05879602024318,3.975144882793594,12.480895616724538,11.33650353526162,26.1206046674232,188.7694048855618,7.763556651184543,15.867778507692323,14.096714274287756,31.923281402939647,8.222172376917333,25.9292014045616,8.274201934093032,113.72766295812536,7.099998248474562,14.799763361565608,10.212608950833888,18.15437955836024,9.5980689183946,35.33608866767098,43.48929100392039,3.77965230207282,5.9112039939602194,9.776439143200086,6.362039795802294,4.331379962465789,6.839198955972021,4.785342087840769,4.131278116937639,5.837530745631108,4.788411061872493,5.584736572676683,10.788785026142028,19.000757977202085,15.934536953463104,32.481790311198466,70.04036557444779,7.460414129822629,9.54606092744888,4.170904804921084,7.364098206243423,6.189679507724705,8.3679085372624,3.9392601301400143,7.083585079415893,6.597165910478051,6.656270912938235,10.34390959845826,6.785097306803114,14.322883280969103,9.094768578760876,8.042183485223873
lambada_openai_mt_de,30613.92513050098,71.7521907051861,68.54472667311627,31296.62540744488,45696.02696195606,72085.02359913639,489.3397378069057,60.664354047689,11689.814443388444,962.6904071208314,302.2723562578615,66.76445729252055,5265.296355753977,522558.6051164405,18582.69389650865,514.4302112224648,94.69773343665824,106.91598544281052,3018.699786706991,31709.62639577767,50537.31647526863,179.5225834680389,111.62982184107844,185.89291277956391,708.65915067328,842.2644032859963,3181.496223362916,406.28068385211714,600199.4469854042,67.12921898078635,76.64091722880211,152.78691217091938,37242.76590094234,484.42552691842417,15502.856852666437,137.67996251592422,83.36935847958071,49.86371807068318,250.4072865018216,48.87449842430055,188.02162076687904,165.89042877953798,173.97520614451307,1509.2914358546716,116.69282603118916,206.3870102457863,179.09801325978876,322.3654267319213,110.67609879845524,358.5756555278384,109.98607307268246,2179.004317143684,88.4733607474649,230.5647639043956,960.089656571698,799.6234927766142,362.5902166584243,25707.333342674337,199.8908696385745,43.53389164386968,113.02190543966468,81.12050115527546,55.87258342769753,52.27675331105957,123.01402953504336,67.03386161458909,48.34851376250285,101.06906299153314,72.07773275836884,83.36935847958071,138.0284041849365,334.6549447326005,259.45524247452926,441.513977374358,652.064355327739,215.6925289309736,151.69158734346922,138.428156041496,373.4850066227164,59.5642372395868,69.81095089458697,52.15658017469976,94.28633144433547,87.58251973300561,94.85206559409995,138.28794678787867,92.24924044161182,207.58391309059303,120.2410244047909,111.97053419906585
lambada_openai_mt_es,79905.67310837895,138.9994134854328,60.37163427393955,80548.77965121358,138486.7412916382,72693.14726912498,554.9049566657104,52.49709688606091,26237.11444624843,1978.997490558273,736.6144472552826,61.09979797424325,4069.122303684678,645340.3433544242,53088.70826827414,952.56438411228,96.46400031142352,96.37615201096128,12257.71404918091,27946.689315555574,127963.6312622304,202.86116811159675,122.19797113846916,264.33144448405284,68.05233287891208,1272.6049856938182,1912.273833466459,520.6243697119736,539316.6454215859,52.12043678293119,97.08468222514465,161.6843655512245,41198.84859488272,555.527823463486,15580.791576676362,191.69794859698385,66.93855050787326,41.19612635806298,326.66551431106376,41.65101097925366,191.68609769744748,152.2464115475114,198.81914153033068,1762.0142873105813,111.68675311486749,201.86412287131805,181.0175088709719,363.3774605659878,108.1596197327742,413.78142369482185,106.21949572676596,2400.704805571617,82.17006814540527,234.93110720474547,942.7272074936708,1122.8905829431442,542.792414397476,2956.603686821055,313.95489772364107,36.46118439787632,166.01744607037253,84.42121840329834,48.94931622369116,43.185688072278495,108.91952187064608,62.58506240020583,39.58501712777532,81.16652209692265,58.53761968631508,66.93855050787326,140.55499257018084,373.2424024679071,242.9249159663415,622.3236776253818,687.9860267364775,207.2299967151148,162.00104988929834,105.11197997611676,51.37576014984801,98.88654801454604,68.85908649980237,39.52862946667958,83.89596738998347,81.34530314618603,82.22099750793271,132.29892269894728,85.66867914385833,208.64471630105967,121.8628181322069,103.16229126463043
lambada_openai_mt_fr,14471.192569295035,47.13469729771559,38.42134310869337,17811.24307697777,20422.16879051201,17103.335668642838,331.43887399109155,33.032118760484565,11129.632294458506,1073.7975735874595,466.0356835846624,35.83226769502282,2052.4869713147,120288.50662890956,11207.086320628525,384.9987057857839,66.81052473006508,64.53947161261054,2749.9929290005,7889.940913185953,31877.59788560564,128.4302493378022,76.40069831944744,119.32250427080828,42.009959120996285,376.5298159200008,984.6774539612414,202.87846602827105,184764.9880697845,32.20727510509167,40.93688003339631,102.77682694826134,14012.948936731484,337.2845716975677,6433.590792675603,79.00773171910735,44.1450996147835,27.65488358910391,188.12262236104985,28.306489427622083,114.36085606731902,103.70000500560664,122.04636109476372,918.6890106937846,72.48768599051135,131.8156105889494,111.78198201693566,221.6837250352178,70.96800546980599,236.90717494667936,72.3686260331333,968.6198688705646,54.13156176820397,144.90117982795735,415.58591554493233,372.09436029365344,183.6819972462431,2468.2006078458844,210.1013907545893,22.301518774938803,58.11185474404274,55.61302916590762,32.73590702430732,27.39064584519949,64.92083689565084,34.38679819422749,25.54742764295924,52.02761058061888,37.46752898215654,44.1450996147835,94.69001423233536,211.189839426836,146.7465899180906,315.1341371412518,409.6650354448076,115.4732482841443,101.85361483317108,84.90138614125229,29.81473079701467,31.318285451897715,45.61879277741295,18.965516389742803,54.3466619681199,50.92171372311934,51.46337181624214,89.3854182553605,53.04892656789951,131.37633068124904,75.37835986934817,64.67916500936542
lambada_openai_mt_it,51787.84042754902,60.76298526754418,49.46823207730887,59514.03755890544,82511.29281761857,28624.439782235862,611.445451152772,46.20773921427817,22238.6094670103,1907.192478258532,524.361586743819,55.49201272250192,4943.540095451112,194943.32376664496,33927.2288640804,1160.3860000401964,101.92058672599184,92.95757125833096,12391.814345063603,18691.32282663772,61037.51660450945,213.3021555591265,119.4805140199863,277.15544183826654,361.7711631697315,801.6374212586553,2104.3209818118366,456.1979464951258,461211.4028681922,49.06995235813785,62.07719779605127,162.8548258198723,40149.99125380519,524.4622616340712,18542.699743313784,121.1491193482276,61.8477049746395,38.92780363606261,308.48022240465184,40.81903660888096,187.3310740667391,169.33844460146256,182.16387347009945,1941.409071278952,113.1526971105911,220.8101322264613,185.06067996952763,381.9971615426856,107.65914844149658,462.0539630736096,111.22741559713248,2847.105707161155,80.66486456636994,244.97647550219804,1002.8157462870852,786.1705753896571,378.1419380781938,14068.497375002384,267.6276974250485,30.60293349347354,107.90504003126382,74.72521529860452,44.669419170941445,40.94001852804082,103.73571234252408,48.79570058148049,35.59690668162001,69.15437948701732,47.81753666047952,61.8477049746395,138.24788856002533,375.3345643842681,274.13443100753784,567.6352140327515,639.4854690513309,203.29677815827017,166.40603352522092,75.53721545738804,202.28307894622864,49.028056940766646,63.229738647094415,29.39160337213508,86.73419622635066,77.52683144760381,82.73707561704182,137.31480016268526,81.8645875078457,198.6533487704456,119.56161371171795,104.83168046690523
